seg_id,orientation,line_coord,seg_idx,x0,y0,x1,y1,class
1,v,550000,1,550000,4180000,550000,4180100,local
2,v,550000,2,550000,4180100,550000,4180200,local
3,v,550000,3,550000,4180200,550000,4180300,local
4,v,550000,4,550000,4180300,550000,4180400,local
5,v,550000,5,550000,4180400,550000,4180500,local
6,v,550000,6,550000,4180500,550000,4180600,local
7,v,550000,7,550000,4180600,550000,4180700,local
8,v,550000,8,550000,4180700,550000,4180800,local
9,v,550000,9,550000,4180800,550000,4180900,local
10,v,550000,10,550000,4180900,550000,4181000,local
11,v,550000,11,550000,4181000,550000,4181100,local
12,v,550000,12,550000,4181100,550000,4181200,local
13,v,550000,13,550000,4181200,550000,4181300,local
14,v,550000,14,550000,4181300,550000,4181400,local
15,v,550000,15,550000,4181400,550000,4181500,local
16,v,550000,16,550000,4181500,550000,4181600,local
17,v,550000,17,550000,4181600,550000,4181700,local
18,v,550000,18,550000,4181700,550000,4181800,local
19,v,550000,19,550000,4181800,550000,4181900,local
20,v,550000,20,550000,4181900,550000,4182000,local
21,v,550000,21,550000,4182000,550000,4182100,local
22,v,550000,22,550000,4182100,550000,4182200,local
23,v,550000,23,550000,4182200,550000,4182300,local
24,v,550000,24,550000,4182300,550000,4182400,local
25,v,550000,25,550000,4182400,550000,4182500,local
26,v,550000,26,550000,4182500,550000,4182600,local
27,v,550000,27,550000,4182600,550000,4182700,local
28,v,550000,28,550000,4182700,550000,4182800,local
29,v,550000,29,550000,4182800,550000,4182900,local
30,v,550100,1,550100,4180000,550100,4180100,local
31,v,550100,2,550100,4180100,550100,4180200,local
32,v,550100,3,550100,4180200,550100,4180300,local
33,v,550100,4,550100,4180300,550100,4180400,local
34,v,550100,5,550100,4180400,550100,4180500,local
35,v,550100,6,550100,4180500,550100,4180600,local
36,v,550100,7,550100,4180600,550100,4180700,local
37,v,550100,8,550100,4180700,550100,4180800,local
38,v,550100,9,550100,4180800,550100,4180900,local
39,v,550100,10,550100,4180900,550100,4181000,local
40,v,550100,11,550100,4181000,550100,4181100,local
41,v,550100,12,550100,4181100,550100,4181200,local
42,v,550100,13,550100,4181200,550100,4181300,local
43,v,550100,14,550100,4181300,550100,4181400,local
44,v,550100,15,550100,4181400,550100,4181500,local
45,v,550100,16,550100,4181500,550100,4181600,local
46,v,550100,17,550100,4181600,550100,4181700,local
47,v,550100,18,550100,4181700,550100,4181800,local
48,v,550100,19,550100,4181800,550100,4181900,local
49,v,550100,20,550100,4181900,550100,4182000,local
50,v,550100,21,550100,4182000,550100,4182100,local
51,v,550100,22,550100,4182100,550100,4182200,local
52,v,550100,23,550100,4182200,550100,4182300,local
53,v,550100,24,550100,4182300,550100,4182400,local
